,region,age,2020
704,10 Blekinge county,40 years,357.1
705,10 Blekinge county,41 years,367.7
706,10 Blekinge county,42 years,372.9
707,10 Blekinge county,43 years,384.0
708,10 Blekinge county,44 years,391.3
709,10 Blekinge county,45 years,390.8
710,10 Blekinge county,46 years,391.3
711,10 Blekinge county,47 years,406.2
712,10 Blekinge county,48 years,414.8
713,10 Blekinge county,49 years,406.5
714,10 Blekinge county,50 years,408.6
715,10 Blekinge county,51 years,408.2
716,10 Blekinge county,52 years,400.4
717,10 Blekinge county,53 years,409.7
718,10 Blekinge county,54 years,406.9
719,10 Blekinge county,55 years,395.8
720,10 Blekinge county,56 years,393.6
721,10 Blekinge county,57 years,380.0
722,10 Blekinge county,58 years,378.2
723,10 Blekinge county,59 years,364.9
724,10 Blekinge county,60 years,370.8
725,10 Blekinge county,61 years,370.1
726,10 Blekinge county,62 years,358.2
727,10 Blekinge county,63 years,357.2
728,10 Blekinge county,64 years,346.9
729,10 Blekinge county,65 years,349.7
730,10 Blekinge county,66 years,334.0
731,10 Blekinge county,67 years,316.6
732,10 Blekinge county,68 years,309.1
733,10 Blekinge county,69 years,299.6
